name_x,team_x,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,position_x,conference,2026_wAV_Predictions
Malachi Fields,Notre Dame,0.043180969,4.649862237,0.556624213,-1.9983265,-0.051291726,-0.205035017,0.248143029,0.019614278,-0.004303681,0.206503012,-0.099962578,WR,Ind,2.01104661
Alberto Mendoza,Indiana,1.144128628,-0.687165412,-0.654769184,1.818121078,-0.840525097,0.285351418,2.77443035,2.056645542,-1.869475184,-1.250857383,-2.263557316,QB,B1G,2.01093316
Dorian Thomas,New Mexico,0.757173811,2.797621392,0.535322186,-2.786795133,4.30277022,2.427167893,0.835233564,-0.742979926,-0.600959324,0.935996501,-0.159704287,TE,MWC,2.010577921
Eli Stowers,Vanderbilt,0.836043948,4.826366883,0.7763937,-2.82532213,0.294922104,-0.943123205,-0.150258521,-0.221463084,0.11357868,-0.91072775,-0.071619105,TE,SEC,2.008455002
Rahsul Faison,South Carolina,2.361049582,-2.256099458,5.20380054,0.133852027,-0.524720618,-0.853969339,-0.486770849,0.160898212,-0.02161734,0.336965965,-0.008941005,RB,SEC,2.007941952
Nick Minicucci,Delaware,22.17266751,0.908716902,-2.693232928,1.06082092,1.912388483,3.751910226,-2.312629925,-0.76170767,-0.572032861,-0.071310014,0.77318042,QB,CUSA,2.007707036
Noah Whittington,Oregon,1.729226021,-1.736646637,4.466098367,0.287983107,-0.740342203,-0.294453938,0.044494878,0.099410944,-0.025111375,-0.082980769,-0.035097487,RB,B1G,2.005915249
Raylen Sharpe,Arkansas,0.717574042,3.471689694,2.054609115,-1.559893245,-0.556727927,0.176484206,2.164267852,-1.190718162,0.984993595,-1.586552583,0.292579263,WR,SEC,2.003573354
Harlem Berry,LSU,1.56401542,-3.370297584,3.394017341,0.380224521,4.570518737,2.704038019,0.119464083,-1.085565127,-0.55753454,-0.103896325,0.19881217,RB,SEC,2.003056138
Kewan Lacy,Ole Miss,4.215582874,-3.931222235,8.078651547,0.879848023,1.922639669,-0.593493791,-1.353962369,0.242327008,-0.66428884,0.014166667,0.005858786,RB,SEC,1.998517807
